Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age Group,Experience Band
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,25-34,5-9 yrs
28.0,Female,Master's,Data Analyst,3.0,65000.0,25-34,2-4 yrs
45.0,Male,Phd,Senior Manager,15.0,150000.0,45-54,15-19 yrs
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,35-44,5-9 yrs
52.0,Male,Master's,Director,20.0,200000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,25-34,2-4 yrs
42.0,Female,Master's,Product Manager,12.0,120000.0,35-44,10-14 yrs
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,25-34,2-4 yrs
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,25-34,0-1 yrs
38.0,Male,Phd,Senior Scientist,10.0,110000.0,35-44,10-14 yrs
29.0,Male,Master's,Software Developer,3.0,75000.0,25-34,2-4 yrs
48.0,Female,Bachelor's,Hr Manager,18.0,140000.0,45-54,15-19 yrs
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,35-44,5-9 yrs
40.0,Female,Master's,Project Manager,14.0,130000.0,35-44,10-14 yrs
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,25-34,2-4 yrs
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,35-44,15-19 yrs
33.0,Female,Master's,Marketing Manager,7.0,90000.0,25-34,5-9 yrs
39.0,Male,Phd,Senior Engineer,12.0,115000.0,35-44,10-14 yrs
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,25-34,0-1 yrs
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,45-54,20+ yrs
34.0,Female,Master's,Business Analyst,5.0,80000.0,25-34,5-9 yrs
47.0,Male,Master's,Vp Of Operations,19.0,190000.0,45-54,15-19 yrs
30.0,Male,Bachelor's,It Support,2.0,50000.0,25-34,2-4 yrs
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,35-44,5-9 yrs
41.0,Male,Master's,Financial Manager,13.0,140000.0,35-44,10-14 yrs
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,25-34,2-4 yrs
37.0,Female,Master's,Software Manager,11.0,110000.0,35-44,10-14 yrs
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,18-24,0-1 yrs
43.0,Female,Phd,Senior Consultant,15.0,140000.0,35-44,15-19 yrs
33.0,Male,Master's,Product Designer,6.0,90000.0,25-34,5-9 yrs
50.0,Male,Bachelor's,Ceo,25.0,250000.0,45-54,20+ yrs
31.0,Female,Bachelor's,Accountant,4.0,55000.0,25-34,2-4 yrs
29.0,Male,Master's,Data Scientist,3.0,75000.0,25-34,2-4 yrs
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,35-44,10-14 yrs
46.0,Male,Phd,Senior Manager,20.0,170000.0,45-54,20+ yrs
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,25-34,2-4 yrs
35.0,Female,Bachelor's,Hr Generalist,7.0,60000.0,35-44,5-9 yrs
42.0,Male,Master's,Project Engineer,14.0,115000.0,35-44,10-14 yrs
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,25-34,0-1 yrs
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,45-54,20+ yrs
34.0,Female,Master's,Ux Designer,5.0,80000.0,25-34,5-9 yrs
48.0,Male,Master's,Operations Director,18.0,190000.0,45-54,15-19 yrs
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,25-34,2-4 yrs
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,35-44,5-9 yrs
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,35-44,10-14 yrs
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,25-34,2-4 yrs
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,25-34,5-9 yrs
45.0,Female,Master's,Director Of Marketing,16.0,180000.0,45-54,15-19 yrs
38.0,Male,Phd,Senior Scientist,11.0,120000.0,35-44,10-14 yrs
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,25-34,0-1 yrs
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,45-54,20+ yrs
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,25-34,5-9 yrs
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,35-44,10-14 yrs
47.0,Male,Master's,Vp Of Finance,19.0,200000.0,45-54,15-19 yrs
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,35-44,5-9 yrs
27.0,Female,Master's,Ux Researcher,2.0,65000.0,25-34,2-4 yrs
43.0,Male,Phd,Senior Engineer,17.0,140000.0,35-44,15-19 yrs
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,25-34,2-4 yrs
35.0,Male,Master's,Product Manager,7.0,105000.0,35-44,5-9 yrs
51.0,Female,Master's,Director Of Operations,23.0,170000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,25-34,2-4 yrs
40.0,Female,Bachelor's,Hr Manager,12.0,80000.0,35-44,10-14 yrs
47.0,Male,Phd,Senior Data Scientist,21.0,180000.0,45-54,20+ yrs
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,25-34,0-1 yrs
