gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Male,29,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Unknown,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Unknown,28,Yes,2,3,6,5,1,12.98575403,62.4683885,Yes,Returns,Capital Appreciation,Unknown,Unknown,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Unknown,28,Yes,2,3,7,5,4,1,62.4683885,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years_err,Daily,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,19,Yes,2,3,7,69.93907057,6,1,5,Yes,Risk,Unknown,Wealth Creation,Unknown,Monthly,Unknown,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Unknown,32,Yes,2,4,7,5,3,1,62.4683885,Yes,Returns,Growth,Wealth Creation,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Unknown,Unknown,FALSE
Male,27,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Yes,2.8,4,33.77904611,5,2,1,7,Yes,Unknown,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Public Provident Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,37,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,daily_err,10%-20%,Equity,Retirement Plan,Unknown,Better Returns,Assured Returns,Unknown,Financial Consultants,FALSE
Female,37,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,30%-40%,Mutual Fund,retirement plan_err,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,25,Yes,2.2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,30%-40%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Unknown,28,Yes,1,4,6,5,45.92673072,1.8,7,Yes,Risk,Growth,Wealth Creation,3-5 years,Unknown,30%-40%,Unknown,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,30,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,Unknown,Unknown,Financial Consultants,FALSE
Male,23,Yes,2,4,6,5,45.92673072,1,7,yes_err,Unknown,Growth,Savings for Future,3-5 years,Weekly,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,32,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,nan_err,FALSE
Female,25,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,21,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,1-3 years,Monthly,Unknown,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Male,26,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,weekly_err,30%-40%,Mutual Fund,Unknown,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,32,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Male,23,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,20%-30%,Unknown,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,24,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,wealth creation_err,1-3 years,Daily,10%-20%,Equity,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Male,32,Yes,2,46.38680213,7,5,3.2,1,6,Unknown,Returns,Growth,Wealth Creation,3-5 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,fixed returns_err,Financial Consultants,FALSE
Male,30,Yes,2,4,7,5,1,3,6,Yes,Unknown,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,27,Yes,2,5,7,6,3,1,4,Yes,Risk,capital appreciation_err,Wealth Creation,3-5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Female,29,Yes,2,3,7,69.93907057,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,27,Yes,3,4,6,5,1,2,7,Yes,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Unknown,Fund Diversification,Unknown,Unknown,Financial Consultants,FALSE
Male,30,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,10%-20%,Equity,Health Care,Unknown,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,29,Yes,2,3,7,5,4,1,6,Yes,Returns,Unknown,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,25,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,27,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,27,Yes,38.91517435,6,4,2,45.92673072,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,High Interest Rates,Unknown,FALSE
Male,29,Yes,2,4,7,5,3,1,6,Yes,Unknown,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,37,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,33,Yes,2,4,7,69.93907057,3,1,6,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,25,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Unknown,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Unknown,19,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,More than 5 years,Monthly,30%-40%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
Female,25,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Mutual Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,yes_err,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Unknown,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,38,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,savings for future_err,Less than 1 year,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Female,35,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,More than 5 years,monthly_err,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Unknown,25,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Unknown,FALSE
Male,28,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years_err,Weekly,Unknown,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,assured returns_err,Risk Free,Newspapers and Magazines,FALSE
Unknown,34,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Female,28,Yes,3,6,4,2,5,1,7,Yes,Unknown,Unknown,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,23,Yes,2,3,7,4,45.92673072,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%_err,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Unknown,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,Yes,3,2,7,5,4,1,6,Yes,Risk,Unknown,Wealth Creation,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,FALSE
Male,28,Yes,1,4,6,5,3,2,7,Unknown,Risk,Growth,Wealth Creation,Less than 1 year,Daily,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,21,Unknown,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Unknown,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
Female,22,Unknown,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Female,21,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,Unknown,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,FALSE
Male,23,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,1-3 years,Monthly,30%-40%,Unknown,Retirement Plan,Dividend,Unknown,Tax Incentives,High Interest Rates,Internet,FALSE
Male,27,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,wealth creation_err,Unknown,Daily,30%-40%,Public Provident Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Male,24,Yes,3,2,7,4,5,1,6,Yes,Returns,capital appreciation_err,Unknown,More than 5 years,Daily,Unknown,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Unknown,30,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%_err,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Unknown,Financial Consultants,FALSE
Male,25,Unknown,38.91517435,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,More than 5 years,Monthly,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,33,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,27,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
